Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Predicted_SalePrice
17,20,3,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,3,4,1,578,0,426,1004,1,0,1,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,2,480,2,0,0,0,0,0,0,700,3,2010,8,4,146860.0
18,90,3,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,4,3,0,0,0,0,1,4,1,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,2,516,2,0,0,0,0,0,0,500,10,2006,8,4,102220.14
19,20,3,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,4,2,646,0,468,1114,1,0,1,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,2,576,2,0,102,0,0,0,0,0,6,2008,8,4,156473.35
20,20,3,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,4,1,504,0,525,1029,1,4,1,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,1,294,2,0,0,0,0,0,0,0,5,2009,0,0,139267.5
21,60,3,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,2,4,2,0,0,1158,1158,1,0,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,3,853,2,240,154,0,0,0,0,0,11,2006,6,5,315679.02
22,45,4,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,4,2,0,0,637,637,1,0,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,1,280,0,0,0,205,0,0,0,0,6,2007,8,4,138621.9
23,20,3,9742,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,2,4,2,0,0,1777,1777,1,0,1,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,534,2,171,159,0,0,0,0,0,9,2008,8,4,229497.78
24,120,4,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,4,2,840,0,200,1040,1,4,1,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,2,572,2,100,110,0,0,0,0,0,6,2007,8,4,138959.0
25,20,3,8246,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,2,1,188,668,204,1060,1,0,1,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,1,270,2,406,90,0,0,0,0,0,5,2010,8,4,147675.64
26,20,3,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,4,2,0,0,1566,1566,1,0,1,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,3,890,2,0,56,0,0,0,0,0,7,2009,8,4,252479.98
27,20,3,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,4,1,234,486,180,900,1,4,1,900,0,0,900,0,1,1,0,3,1,2,5,6,0,2,576,2,222,32,0,0,0,0,0,5,2010,8,4,133587.5
28,20,3,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,4,2,1218,0,486,1704,1,0,1,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,3,772,2,0,50,0,0,0,0,0,5,2010,8,4,305392.88
29,20,3,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,4,1,1277,0,207,1484,1,4,1,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,1,319,2,288,258,0,0,0,0,0,12,2006,8,4,198445.5
30,30,4,6324,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,4,0,0,0,520,520,1,1,0,520,0,0,520,0,0,1,0,1,1,1,4,6,0,1,240,2,49,0,87,0,0,0,0,5,2008,8,4,75085.0
31,70,0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,1,0,0,0,649,649,1,4,0,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,1,250,0,0,54,172,0,0,0,0,7,2008,8,4,96533.08
32,20,3,8544,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,4,1,0,0,1228,1228,1,2,1,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,1,271,2,0,65,0,0,0,0,0,6,2008,8,4,145532.34
33,20,3,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,4,2,0,0,1234,1234,1,0,1,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,2,484,2,0,30,0,0,0,0,0,1,2008,8,4,218935.5
34,20,3,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,4,1,1018,0,380,1398,1,2,1,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,447,2,0,38,0,0,0,0,0,4,2010,8,4,162625.0
35,120,3,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,0,4,2,1153,0,408,1561,1,0,1,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,556,2,203,47,0,0,0,0,0,8,2007,8,4,286471.37
36,60,3,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,4,2,0,0,1117,1117,1,0,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,3,691,2,113,32,0,0,0,0,0,9,2006,8,4,304147.33
37,20,3,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,4,2,0,0,1097,1097,1,0,1,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,2,672,2,392,64,0,0,0,0,0,6,2009,8,4,146843.5
38,20,3,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,3,4,1,1213,0,84,1297,1,2,1,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,2,498,2,0,0,0,0,0,0,0,10,2009,8,4,153770.37
39,20,3,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,2,1,731,0,326,1057,1,4,1,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,1,246,2,0,52,0,0,0,0,0,1,2010,8,0,123085.25
40,90,3,6040,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,4,2,0,0,0,0,1,4,0,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,6,2008,8,1,88582.25
41,20,3,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,3,4,1,643,0,445,1088,1,0,1,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,2,440,2,0,138,0,0,0,0,0,12,2006,8,0,158392.9
42,20,3,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,2,1,967,0,383,1350,1,2,1,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,1,308,1,0,104,0,0,0,0,0,7,2007,8,4,161180.25
43,85,3,9180,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,4,1,747,93,0,840,1,2,1,884,0,0,884,1,0,1,0,2,1,2,5,6,0,2,504,2,240,0,0,0,0,0,0,12,2007,8,4,141808.6
44,20,3,9200,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,4,1,280,491,167,938,1,4,1,938,0,0,938,1,0,1,0,3,1,3,5,6,0,1,308,2,145,0,0,0,0,0,0,7,2008,8,4,130135.5
45,20,3,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,4,1,179,506,465,1150,1,0,1,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,1,300,2,0,0,0,0,0,0,0,5,2006,8,4,135184.25
46,120,3,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,0,4,2,456,0,1296,1752,1,0,1,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,576,2,196,82,0,0,0,0,0,2,2010,8,4,313041.03
47,50,3,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,4,2,1351,0,83,1434,1,0,1,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,2,670,2,168,43,0,0,198,0,0,8,2009,8,0,257473.98
48,20,1,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,4,2,24,0,1632,1656,1,0,1,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,826,2,0,146,0,0,0,0,0,7,2007,8,4,247971.99
49,190,4,4456,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,4,0,0,0,736,736,1,2,1,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0,0,0,0,0,102,0,0,0,0,6,2009,6,5,114802.84
50,20,3,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,4,1,763,0,192,955,1,0,1,955,0,0,955,1,0,1,0,3,1,3,6,6,0,1,386,2,0,0,0,0,0,0,0,1,2007,8,4,127667.43
51,60,3,13869,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,4,2,182,0,612,794,1,2,1,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,2,388,2,0,75,0,0,0,0,0,7,2007,8,4,174858.87
52,50,4,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,4,2,0,0,816,816,1,4,1,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,528,2,112,0,0,0,0,0,400,9,2006,8,4,122556.5
53,90,4,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,1,4,1,104,712,0,816,1,4,0,816,0,0,816,1,0,1,0,2,1,3,5,6,0,2,516,2,106,0,0,0,0,0,0,5,2010,8,4,104419.0
54,20,3,50271,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,4,1,1810,0,32,1842,1,2,1,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,3,894,2,857,72,0,0,0,0,0,11,2006,8,4,380980.03
55,80,3,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,4,1,384,0,0,384,1,4,1,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,2,572,2,0,50,0,0,0,0,0,2,2007,8,4,129021.5
56,20,3,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,3,4,1,490,0,935,1425,1,2,1,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,576,2,0,0,0,407,0,0,0,7,2008,8,4,173846.8
57,160,1,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,2,4,2,649,0,321,970,1,0,1,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,2,480,2,115,0,0,0,0,0,0,8,2009,8,0,209979.31
58,60,3,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,4,2,0,0,860,860,1,0,1,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,2,565,2,0,70,0,0,0,0,0,8,2006,8,4,197870.69
59,60,3,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,0,4,2,0,0,1410,1410,1,0,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,3,641,2,192,0,37,0,0,0,0,10,2006,6,5,395710.27
60,20,3,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,4,1,632,0,148,780,1,0,1,780,0,0,780,0,0,1,0,2,1,3,4,6,0,1,352,2,196,0,0,0,0,0,0,1,2008,8,4,124166.34
61,20,3,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,4,2,941,0,217,1158,1,0,1,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,2,576,2,0,50,0,0,0,0,0,5,2006,6,5,163699.72
62,75,4,7200,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,4,0,0,0,530,530,1,4,0,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,1,288,0,0,0,144,0,0,0,0,3,2007,8,4,98980.08
63,120,3,6442,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,2,4,2,24,0,1346,1370,1,0,1,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,484,2,120,49,0,0,0,0,0,10,2007,8,4,207497.18
64,70,4,10300,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,4,0,0,0,576,576,1,2,1,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,2,480,2,12,11,64,0,0,0,0,4,2010,8,4,158134.5
65,60,3,9375,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,3,4,2,739,0,318,1057,1,0,1,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,2,645,2,576,36,0,0,0,0,0,2,2009,8,4,221764.68
66,60,3,9591,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,4,2,0,0,1143,1143,1,0,1,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,3,852,2,192,151,0,0,0,0,0,10,2007,8,4,304801.54
67,20,3,19900,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,3,4,1,912,0,1035,1947,1,4,1,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,576,2,301,0,0,0,0,0,0,7,2010,8,4,203160.25
68,20,3,10665,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,2,4,2,1013,0,440,1453,1,0,1,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,2,558,2,144,29,0,0,0,0,0,6,2007,8,4,207287.4
69,30,4,4608,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,3,2,1,0,0,747,747,1,4,1,747,0,0,747,0,0,1,0,2,1,3,4,6,0,1,220,2,0,0,0,0,0,0,0,6,2010,8,4,86978.5
70,50,3,15593,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,4,1,603,0,701,1304,2,4,1,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,2,667,2,0,21,114,0,0,0,0,7,2006,8,4,228873.06
71,20,3,13651,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,3,2,1,1880,0,343,2223,1,0,1,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,516,2,300,0,0,0,0,0,0,2,2007,8,4,261077.08
72,20,3,7599,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,3,4,1,565,0,280,845,1,4,1,845,0,0,845,1,0,1,0,2,1,3,4,6,0,2,360,2,0,0,0,0,0,0,0,6,2007,8,4,125344.0
73,60,3,10141,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,3,4,2,0,0,832,832,1,2,1,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,2,427,2,0,94,0,0,291,0,0,12,2009,8,4,187152.0
74,20,3,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,3,4,1,320,362,404,1086,1,2,1,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,2,490,2,0,0,0,0,0,0,0,5,2010,8,4,144398.5
75,50,4,5790,1,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,2,2,1,0,0,840,840,1,2,0,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,1,379,2,0,0,202,0,0,0,0,5,2010,8,4,112593.34
76,180,4,1596,1,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,3,4,1,462,0,0,462,1,4,1,526,462,0,988,1,0,1,0,2,1,3,5,6,0,1,297,2,120,101,0,0,0,0,0,11,2009,8,4,97960.5
77,20,3,8475,1,0,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,3,4,1,228,0,724,952,1,0,1,952,0,0,952,0,0,1,0,2,1,3,4,6,0,1,283,2,0,0,0,0,0,0,0,4,2008,8,4,112229.0
78,50,4,8635,1,3,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,3,4,1,336,41,295,672,1,4,1,1072,213,0,1285,1,0,1,0,2,1,3,6,2,0,1,240,2,0,0,0,0,0,0,0,1,2008,8,4,124162.5
79,90,3,10778,1,3,3,0,4,0,19,2,2,2,2,4,5,1968,1968,3,1,6,6,3,4,1,0,0,1768,1768,1,4,0,1768,0,0,1768,0,0,2,0,4,2,3,8,6,0,0,0,2,0,0,0,0,0,0,0,4,2010,8,4,120295.38
80,50,4,10440,1,3,3,0,0,0,17,2,2,0,5,5,6,1910,1981,1,1,13,14,3,4,2,0,0,440,440,1,2,1,682,548,0,1230,0,0,1,1,2,1,3,5,6,0,2,440,2,74,0,128,0,0,0,0,5,2009,8,4,112832.5
81,60,3,13000,1,3,3,0,0,0,12,2,2,0,5,6,6,1968,1968,1,1,12,13,3,2,1,448,0,448,896,1,4,1,1182,960,0,2142,0,0,2,1,4,1,2,8,6,1,1,509,2,0,72,0,0,252,0,0,6,2009,8,4,193197.0
82,120,4,4500,1,3,3,0,2,0,11,2,2,4,2,6,5,1998,1998,3,1,12,13,3,2,2,1201,0,36,1237,1,0,1,1337,0,0,1337,1,0,2,0,2,1,3,5,6,0,2,405,2,0,199,0,0,0,0,0,3,2006,8,4,169310.75
83,20,3,10206,1,3,3,0,4,0,21,2,2,0,2,8,5,2007,2007,1,1,12,13,3,4,2,33,0,1530,1563,1,0,1,1563,0,0,1563,0,0,2,0,3,1,2,6,6,1,3,758,2,144,99,0,0,0,0,0,10,2008,8,4,243957.11
84,20,3,8892,1,0,3,0,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,3,4,1,0,0,1065,1065,1,2,1,1065,0,0,1065,0,0,1,1,3,1,3,6,6,0,2,461,2,74,0,0,0,0,0,0,7,2007,0,4,130381.0
85,80,3,8530,1,0,3,0,4,0,8,2,2,0,7,7,5,1995,1996,1,1,6,6,3,4,2,0,0,384,384,1,2,1,804,670,0,1474,0,0,2,1,3,1,3,7,6,1,2,400,2,120,72,0,0,0,0,700,5,2009,8,4,168548.4
86,60,3,16059,1,3,3,0,0,0,15,2,2,0,5,8,5,1991,1992,3,1,6,6,2,4,1,0,0,1288,1288,1,0,1,1301,1116,0,2417,0,0,2,1,4,1,2,9,6,1,2,462,2,127,82,0,0,0,0,0,4,2006,8,4,268923.86
87,60,3,11911,1,1,3,0,4,0,8,2,2,0,5,6,5,2005,2005,1,1,12,13,2,4,2,0,0,684,684,1,0,1,684,876,0,1560,0,0,2,1,3,1,2,6,6,1,2,400,2,100,38,0,0,0,0,0,3,2009,8,4,177075.25
88,160,1,3951,1,3,3,0,0,0,21,2,2,4,5,6,5,2009,2009,1,1,12,13,2,4,2,0,0,612,612,1,0,1,612,612,0,1224,0,0,2,1,2,1,2,4,6,0,2,528,2,0,234,0,0,0,0,0,6,2009,6,5,161549.29
89,50,0,8470,1,0,3,0,0,0,9,1,1,0,0,3,2,1915,1982,3,1,9,10,1,1,1,0,0,1013,1013,1,4,0,1013,0,513,1526,0,0,1,0,2,1,1,6,6,0,0,0,0,0,0,156,0,0,0,0,10,2009,3,0,100743.34
90,20,3,8070,1,3,3,0,4,0,5,2,2,0,2,4,5,1994,1995,1,1,12,13,3,4,2,588,0,402,990,1,0,1,990,0,0,990,1,0,1,0,3,1,3,5,6,0,0,0,2,0,0,0,0,0,0,0,8,2007,8,4,122173.75
91,20,3,7200,1,3,3,0,4,0,12,2,2,0,2,4,5,1950,1950,1,1,3,14,3,4,3,0,0,0,0,1,4,1,1040,0,0,1040,0,0,1,0,2,1,3,4,6,0,2,420,2,0,29,0,0,0,0,0,7,2006,8,4,105441.5
92,20,3,8500,1,3,3,0,4,0,12,2,2,0,2,5,3,1961,1961,3,1,6,6,3,4,1,600,0,635,1235,1,4,1,1235,0,0,1235,0,0,1,0,2,1,3,6,6,0,2,480,2,0,0,0,0,0,0,0,12,2006,8,0,113235.5
93,30,3,13360,1,0,1,0,4,0,6,2,2,0,2,5,7,1921,2006,1,1,13,14,3,2,0,713,0,163,876,1,0,1,964,0,0,964,1,0,1,0,2,1,3,5,6,0,2,432,2,0,0,44,0,0,0,0,8,2009,8,4,154718.0
94,190,0,7200,1,3,3,0,0,0,17,2,2,1,4,6,6,1910,1998,3,1,8,8,3,4,0,1046,0,168,1214,2,0,0,1260,1031,0,2291,0,1,2,0,4,2,3,9,6,1,2,506,2,0,0,0,0,99,0,0,11,2007,8,4,158511.39
95,60,3,9337,1,0,3,0,4,0,5,2,2,0,5,6,5,1997,1997,1,1,12,13,3,2,2,648,0,176,824,1,0,1,905,881,0,1786,1,0,2,1,3,1,2,7,6,0,2,684,2,0,162,0,0,0,0,0,5,2007,8,4,206124.2
96,60,3,9765,1,1,3,0,0,0,8,2,2,0,5,6,8,1993,1993,1,1,12,13,0,2,2,310,0,370,680,1,2,1,680,790,0,1470,0,0,2,1,3,1,3,6,6,1,2,420,2,232,63,0,0,0,0,480,4,2009,8,4,180154.81
97,20,3,10264,1,0,3,0,4,0,5,2,2,0,2,7,5,1999,1999,1,1,12,13,2,4,2,1162,0,426,1588,1,0,1,1588,0,0,1588,0,0,2,0,3,1,2,6,6,0,2,472,2,158,29,0,0,0,0,0,8,2006,8,4,217193.68
98,20,3,10921,1,3,1,0,4,0,7,2,2,0,2,4,5,1965,1965,3,1,6,6,3,4,1,520,0,440,960,1,4,1,960,0,0,960,1,0,1,0,3,1,3,6,6,0,1,432,1,120,0,0,0,0,0,0,5,2007,8,4,104719.0
